iter	Passed	Remaining
457	50696	59994
458	50790	59863
459	50882	59731
460	50968	59592
461	51056	59455
462	51155	59332
463	51260	59214
464	51349	59080
465	51443	58950
466	51532	58815
467	51624	58684
468	51721	58559
469	51809	58423
470	51903	58295
471	52004	58174
472	52094	58041
473	52190	57916
474	52299	57804
475	52411	57697
476	52525	57590
477	52645	57491
478	52761	57387
479	52871	57277
480	52976	57161
481	53080	57045
482	53196	56941
483	53315	56841
484	53442	56747
485	53560	56645
486	53681	56547
487	53802	56448
488	53908	56333
489	54015	56219
490	54130	56114
491	54240	56004
492	54348	55891
493	54463	55786
494	54609	55712
495	54720	55602
496	54842	55504
497	54951	55393
498	55061	55281
499	55195	55195
500	55316	55095
501	55457	55015
502	55568	54905
503	55676	54793
504	55784	54679
505	55893	54568
506	56005	54458
507	56110	54343
508	56218	54230
509	56479	54264
510	56634	54196
511	56748	54088
512	56877	53994
513	56991	53886
514	57098	53772
515	57218	53669
516	57329	53559
517	57442	53450
518	57545	53332
519	57654	53219
520	57764	53107
521	57879	53001
522	57992	52891
523	58100	52778
524	58209	52665
525	58320	52555
526	58436	52449
527	58533	52325
528	58631	52202
529	58728	52080
530	58827	51958
531	58918	51830
532	59011	51703
533	59106	51579
534	59245	51493
535	59349	51376
536	59439	51248
537	59532	51122
538	59623	50994
539	59714	50867
540	59813	50747
541	59905	50620
542	59994	50492
543	60085	50365
544	60177	50240
545	60272	50116
546	60368	49994
547	60463	49871
548	60557	49747
549	60644	49618
550	60741	49497
551	60834	49372
552	60927	49249
553	61017	49122
554	61111	48999
555	61203	48874
556	61295	48750
557	61385	48624
558	61473	48497
559	61564	48372
560	61652	48245
561	61739	48117
562	61836	47997
563	61930	47875
564	62017	47747
565	62106	47622
566	62191	47494
567	62281	47368
568	62367	47241
569	62452	47113
570	62536	46984
571	62622	46857
572	62712	46733
573	62810	46615
574	62902	46492
575	63004	46378
576	63095	46255
577	63188	46134
578	63282	46013
579	63381	45897
580	63469	45772
581	63556	45647
582	63643	45521
583	63730	45396
584	63822	45275
585	63908	45150
586	63992	45023
587	64077	44897
588	64164	44773
589	64251	44649
590	64342	44528
591	64436	44408
592	64526	44286
593	64618	44166
594	64711	44047
595	64806	43929
596	64895	43807
597	64985	43685
598	65074	43564
599	65165	43443
600	65258	43324
601	65374	43221
602	65465	43100
603	65555	42979
604	65643	42858
605	65731	42736
606	65822	42616
607	65911	42495
608	65998	42373
609	66083	42249
610	66171	42128
611	66260	42008
612	66353	41890
613	66442	41770
614	66536	41653
615	66630	41535
616	66734	41424
617	66829	41308
618	66920	41190
619	67017	41075
620	67105	40954
621	67196	40836
622	67286	40717
623	67373	40597
624	67460	40476
625	67544	40353
626	67628	40232
627	67715	40111
628	67808	39995
629	67900	39878
630	67987	39758
631	68078	39640
632	68184	39532
633	68311	39435
634	68426	39331
635	68575	39247
636	68712	39156
637	68812	39044
638	68903	38926
639	68999	38811
640	69092	38696
641	69185	38579
642	69280	38465
643	69372	38348
644	69460	38230
645	69553	38114
646	69639	37994
647	69728	37877
648	69816	37758
649	69900	37638
650	69987	37520
651	70076	37402
652	70168	37287
653	70259	37171
654	70351	37055
655	70441	36938
656	70530	36821
657	70613	36701
658	70699	36583
659	70788	36466
660	70872	36347
661	70958	36229
662	71045	36112
663	71147	36002
664	71247	35891
665	71339	35776
666	71433	35663
667	71529	35550
668	71618	35434
669	71710	35320
670	71803	35205
671	71892	35090
672	71979	34973
673	72066	34856
674	72154	34741
675	72245	34626
676	72334	34511
677	72423	34395
678	72512	34280
679	72602	34165
680	72694	34052
681	72786	33938
682	72874	33822
683	72963	33708
684	73049	33592
685	73138	33477
686	73231	33364
687	73325	33252
688	73415	33138
689	73504	33023
690	73592	32908
691	73683	32795
692	73775	32682
693	73865	32568
694	73955	32455
695	74044	32341
696	74138	32229
697	74229	32116
698	74318	32002
699	74407	31889
700	74494	31774
701	74579	31659
702	74667	31545
703	74753	31430
704	74837	31315
705	74926	31201
706	75023	31091
707	75115	30979
708	75210	30869
709	75304	30758
710	75400	30648
711	75492	30536
712	75579	30422
713	75667	30309
714	75758	30197
715	75849	30085
716	75937	29972
717	76025	29859
718	76113	29746
719	76202	29634
720	76292	29522
721	76379	29409
722	76467	29296
723	76559	29185
724	76651	29074
725	76742	28963
726	76831	28851
727	76919	28739
728	77007	28626
729	77094	28514
730	77217	28415
731	77305	28303
732	77394	28191
733	77485	28080
734	77574	27968
735	77664	27857
736	77755	27747
737	77843	27635
738	77932	27524
739	78020	27412
740	78106	27300
741	78203	27192
742	78301	27084
743	78391	26973
744	78484	26863
745	78580	26755
746	78676	26646
747	78775	26539
748	78926	26449
749	79047	26349
750	79143	26240
751	79239	26132
752	79331	26022
753	79423	25912
754	79515	25802
755	79606	25693
756	79707	25586
757	79802	25477
758	79900	25370
759	79992	25260
760	80082	25150
761	80176	25041
762	80279	24936
763	80370	24826
764	80462	24717
765	80554	24608
766	80648	24499
767	80740	24390
768	80831	24280
769	80921	24171
770	81018	24063
771	81111	23955
772	81207	23847
773	81304	23740
774	81399	23632
775	81490	23522
776	81578	23413
777	81670	23304
778	81761	23195
779	81848	23085
780	81935	22975
781	82021	22865
782	82109	22755
783	82203	22647
784	82292	22538
785	82379	22429
786	82468	22319
787	82554	22210
788	82649	22102
789	82744	21995
790	82840	21888
791	82931	21779
792	83026	21672
793	83121	21565
794	83216	21458
795	83308	21350
796	83397	21241
797	83493	21134
798	83588	21027
799	83679	20919
800	83774	20812
801	83905	20714
802	83999	20607
803	84094	20500
804	84192	20394
805	84299	20290
806	84388	20182
807	84489	20076
808	84585	19970
809	84682	19863
810	84783	19758
811	84874	19650
812	84973	19545
813	85070	19438
814	85161	19331
815	85267	19227
816	85365	19120
817	85467	19015
818	85578	18912
819	85669	18805
820	85762	18698
821	85853	18591
822	85942	18483
823	86032	18375
824	86125	18268
825	86218	18162
826	86305	18054
827	86393	17946
828	86498	17842
829	86590	17735
830	86679	17628
831	86768	17520
832	86856	17412
833	86962	17309
834	87050	17201
835	87145	17095
836	87261	16993
837	87361	16888
838	87466	16784
839	87575	16680
840	87686	16578
841	87796	16474
842	87959	16381
843	88061	16276
844	88171	16173
845	88282	16070
846	88395	15967
847	88501	15863
848	88626	15762
849	88743	15660
850	88881	15562
851	89051	15468
852	89164	15366
853	89274	15262
854	89386	15159
855	89517	15059
856	89626	14955
857	89734	14851
858	89839	14746
859	89943	14641
860	90040	14536
861	90137	14430
862	90236	14324
863	90334	14219
864	90429	14113
865	90525	14007
866	90615	13900
867	90706	13794
868	90804	13688
869	90903	13583
870	90998	13477
871	91096	13371
872	91198	13267
873	91343	13168
874	91516	13073
875	91737	12985
876	91889	12887
877	91995	12783
878	92115	12680
879	92241	12578
880	92361	12475
881	92458	12369
882	92558	12264
883	92659	12158
884	92755	12052
885	92849	11946
886	92944	11840
887	93036	11734
888	93135	11628
889	93229	11522
890	93318	11416
891	93412	11310
892	93503	11203
893	93589	11096
894	93681	10990
895	93767	10883
896	93852	10776
897	93942	10670
898	94034	10564
899	94129	10458
900	94227	10353
901	94325	10248
902	94426	10143
903	94541	10039
904	94639	9934
905	94735	9829
906	94831	9723
907	94924	9617
908	95019	9512
909	95116	9407
910	95208	9301
911	95298	9195
912	95437	9094
913	95547	8990
914	95670	8887
915	95769	8782
916	95866	8677
917	95961	8571
918	96061	8466
919	96156	8361
920	96248	8255
921	96339	8150
922	96432	8044
923	96524	7939
924	96619	7833
925	96710	7728
926	96799	7622
927	96890	7517
928	96981	7411
929	97072	7306
930	97168	7201
931	97267	7096
932	97380	6993
933	97475	6887
934	97568	6782
935	97668	6678
936	97759	6572
937	97848	6467
938	97944	6362
939	98036	6257
940	98128	6152
941	98219	6047
942	98309	5942
943	98399	5837
944	98486	5732
945	98576	5626
946	98667	5522
947	98758	5417
948	98850	5312
949	98944	5207
950	99034	5102
951	99130	4998
952	99227	4893
953	99321	4789
954	99414	4684
955	99506	4579
956	99596	4475
957	99689	4370
958	99779	4265
959	99869	4161
960	99960	4056
961	100052	3952
962	100142	3847
963	100232	3743
964	100320	3638
965	100410	3534
966	100524	3430
967	100648	3327
968	100751	3223
969	100847	3118
970	100975	3015
971	101070	2911
972	101169	2807
973	101264	2703
974	101375	2599
975	101491	2495
976	101606	2391
977	101723	2288
978	101843	2184
979	101962	2080
980	102079	1977
981	102178	1872
982	102278	1768
983	102371	1664
984	102466	1560
985	102561	1456
986	102659	1352
987	102756	1248
988	102847	1143
989	102936	1039
990	103024	935
991	103114	831
992	103201	727
993	103319	623
994	103433	519
995	103544	415
996	103640	311
997	103739	207
998	103858	103
999	103973	0
